country,year,iso_code,population,gdp,biofuel_consumption,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_consumption,coal_electricity,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_per_gdp,fossil_electricity,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_consumption,gas_electricity,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_consumption,hydro_electricity,hydro_share_elec,hydro_share_energy,low_carbon_consumption,low_carbon_electricity,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_consumption,nuclear_electricity,nuclear_share_elec,nuclear_share_energy,oil_consumption,oil_electricity,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_consumption,renewables_electricity,renewables_share_elec,renewables_share_energy,solar_consumption,solar_electricity,solar_share_elec,solar_share_energy,wind_consumption,wind_electricity,wind_share_elec,wind_share_energy
World,2012,,7161697792,,762.472,370.87,1.673,0.52,485.224,44022.523,8855.83,45209.387,39.945,30.018,22169.891,22169.891,15.117,,15055.62,126339.219,67.91,86.147,33203.004,5042.66,33261.883,22.746,22.64,10757.37,9985.715,3645.02,16.441,6.809,20316.502,7114.27,32.09,13.853,,,6500.369,2403.21,10.84,4.432,49113.688,1157.13,47921.215,5.219,33.489,1334.975,441.75,70.88,1.993,0.32,0.91,3095.619,146655.703,13816.133,4711.06,21.25,9.421,278.365,95.18,0.429,0.19,1454.606,529.11,2.387,0.992
World,2013,,7250593280,,828.651,402.92,1.767,0.555,485.06,44670.625,9306.75,45935.535,40.804,29.936,22808.289,22808.289,15.285,,15364.88,128002.844,67.365,85.781,33741.91,4939.52,33656.941,21.657,22.612,11063.39,10324.202,3776.88,16.559,6.919,21217.465,7443.41,32.635,14.219,,,6512.807,2418.44,10.603,4.365,49590.309,1118.61,47986.426,4.904,33.233,1442.059,475.5,72.58,2.085,0.318,0.966,3145.714,149220.312,14704.658,5024.97,22.031,9.854,377.724,131.42,0.576,0.253,1732.024,641.17,2.811,1.161
World,2014,,7339013632,,878.869,438.47,1.872,0.583,481.224,44858.121,9495.57,45822.684,40.54,29.747,23422.83,23422.83,15.533,,15655.38,128770.164,66.838,85.392,33977.359,5096.07,34356.016,21.757,22.532,11271.62,10535.74,3865.63,16.504,6.987,22028.246,7767.45,33.162,14.608,,,6606.008,2472.7,10.557,4.381,49934.684,1063.74,49112.781,4.541,33.114,1560.908,516.15,77.68,2.204,0.332,1.035,3191.55,150798.406,15422.238,5294.75,22.605,10.227,534.401,196.46,0.839,0.354,1912.321,716.51,3.059,1.268
World,2015,,7426597376,,912.978,475.79,2.011,0.6,472.15,43669.828,9160.63,44548.598,38.717,28.72,23660.359,23660.359,15.56,,15647.27,129421.867,66.133,85.116,34788.023,5418.55,35078.391,22.901,22.879,11171.25,10447.261,3870.04,16.357,6.871,22632.207,8013.09,33.867,14.884,,,6655.106,2502.45,10.577,4.377,50964.02,1068.09,50762.109,4.514,33.517,1688.646,557.36,81.57,2.356,0.345,1.111,3185.895,152054.062,15977.102,5510.64,23.291,10.508,689.346,254.87,1.077,0.453,2238.873,828.37,3.501,1.472
World,2016,,7513474048,107134276599808.0,953.729,483.77,1.991,0.62,465.728,42715.141,9226.85,42106.707,37.979,27.758,24294.391,24294.391,15.787,1.436,15900.89,130300.273,65.451,84.674,35592.57,5669.08,35444.734,23.335,23.129,11314.57,10746.731,3996.54,16.45,6.984,23584.303,8393.5,34.549,15.326,,,6714.155,2540.48,10.457,4.363,51992.559,1004.96,50904.277,4.137,33.787,1714.84,567.68,83.91,2.337,0.345,1.114,3233.443,153884.578,16870.148,5853.02,24.092,10.963,879.179,329.15,1.355,0.571,2575.669,959.65,3.95,1.674
World,2017,,7599822336,110430655610880.0,974.069,515.07,2.058,0.62,462.165,43129.867,9518.91,43059.48,38.035,27.452,25026.4,25026.4,15.929,1.423,16223.81,132517.438,64.827,84.347,36521.109,5791.83,36718.73,23.143,23.246,11566.34,10834.706,4053.96,16.199,6.896,24592.723,8802.59,35.173,15.653,,,6734.279,2566.22,10.254,4.286,52866.461,913.07,50996.598,3.648,33.649,1826.188,601.46,86.39,2.403,0.345,1.162,3293.024,157110.156,17858.443,6236.37,24.919,11.367,1185.552,444.54,1.776,0.755,3037.927,1136.41,4.541,1.934
World,2018,,7683789824,113630171365376.0,1049.894,546.21,2.099,0.65,459.454,43795.398,9899.44,45083.879,38.043,27.134,26022.01,26022.01,16.122,1.42,16756.02,135556.359,64.392,83.986,38355.828,6015.24,38558.199,23.116,23.764,11955.92,11084.954,4174.81,16.043,6.868,25846.385,9265.99,35.608,16.014,,,6855.408,2619.57,10.067,4.247,53405.137,841.34,52190.699,3.233,33.088,1973.996,635.75,89.54,2.443,0.344,1.223,3386.611,161402.734,18990.977,6646.42,25.542,11.766,1523.304,570.57,2.193,0.944,3358.827,1265.29,4.862,2.081
World,2019,,7764951040,,1124.602,575.5,2.183,0.689,448.599,43534.613,9680.92,45541.91,36.718,26.682,26365.58,26365.58,16.159,,16634.039,136105.719,63.09,83.417,39058.266,6176.34,39684.312,23.426,23.938,11827.58,11185.189,4220.11,16.006,6.855,27057.621,9731.54,36.91,16.583,,,7071.782,2724.08,10.332,4.334,53512.844,776.78,52092.734,2.946,32.797,2072.369,666.65,91.15,2.528,0.346,1.27,3395.46,163163.344,19985.84,7007.46,26.578,12.249,1858.954,701.19,2.659,1.139,3744.726,1419.51,5.384,2.295
World,2020,,7840952832,,1073.758,602.57,2.293,0.682,436.888,42233.391,9292.9,43394.559,35.365,26.839,26276.91,26276.91,16.699,,16166.37,129446.438,61.523,82.262,38603.406,6132.47,38606.0,23.338,24.532,11480.07,11448.027,4341.1,16.521,7.275,27911.363,10110.54,38.477,17.738,,,6776.866,2634.69,10.027,4.307,48609.645,741.0,48560.844,2.82,30.891,2182.697,696.73,94.16,2.651,0.358,1.387,3351.239,157357.797,21134.498,7475.85,28.45,13.431,2243.835,850.89,3.238,1.426,4186.181,1587.13,6.04,2.66
World,2021,,7909295104,,1142.872,663.78,2.385,0.689,441.301,44564.812,10081.8,45137.516,36.22,26.855,27834.92,27834.92,16.773,,17201.33,136585.125,61.798,82.307,40670.66,6326.0,40534.203,22.727,24.508,12283.59,11222.36,4244.57,15.249,6.763,29361.033,10633.59,38.202,17.693,,,7037.069,2740.78,9.847,4.241,51349.656,793.53,49192.051,2.851,30.944,2335.312,758.78,95.0,2.726,0.341,1.407,3519.267,165946.156,22323.965,7892.81,28.356,13.453,2771.829,1040.06,3.737,1.67,4851.594,1849.4,6.644,2.924
World,2022,,7975105024,,1199.207,677.57,2.375,0.715,436.336,44854.035,10190.71,48490.0,35.722,26.733,28527.76,28527.76,17.002,,17385.15,137236.672,60.941,81.792,39413.043,6309.46,40438.16,22.117,23.49,12447.7,11299.816,4326.76,15.167,6.735,30551.008,11142.61,39.059,18.208,,,6702.339,2610.04,9.149,3.995,52969.59,884.98,51255.57,3.102,31.569,2413.808,777.31,99.74,2.725,0.35,1.439,3577.102,167787.672,23848.668,8532.57,29.91,14.214,3448.237,1289.27,4.519,2.055,5487.6,2139.23,7.499,3.271
